Age,Gender,Height_cm,Weight_kg,Know_BMI,Fitness_Goal,Activity_Level,Exercise_Frequency,Medical_Conditions,Tracking_Preference,Motivation,Willingness_to_Use_App,Importance_of_Sustainability,Empathy_Preference,Willingness_to_Pay,Useful_App_Features,Used_Fitness_App_Before,Stopped_App_Reason,Workout_Preference,Monthly_Income,Fitness_Persona,Would_Recommend_App,BMI
37,Male,174,50,Yes,Weight loss,Medium,1–2,Yes,In-app tracking,Health,5,5,Yes,<₹200,"Challenges, Diet tracker, Community features",Yes,"Got bored, Others",Mix of both,₹50k–₹1L,Consistent,Yes,16.387599970709125
34,Female,154,73,No,Weight loss,Low,1–2,Yes,Wearable devices,Appearance,4,1,Yes,₹200–₹500,"Workout plans, Mental health tips",Yes,"Got bored, Others, Too expensive",Guided,₹20k–₹50k,Consistent,Yes,33.80754120359644
17,Female,165,58,No,Mental wellness,Medium,1–2,Yes,Wearable devices,Health,5,3,Yes,₹500–₹1000,"Challenges, Community features, Workout plans, Mental health tips",No,"App was buggy, Too expensive, Privacy concerns",Self-paced,₹20k–₹50k,Start but can’t continue,Maybe,18.95827598143307
24,Male,155,37,No,Weight loss,Low,5–6,No,Not tracking,Mental health,2,4,Maybe,>₹1000,"Reminders, Diet tracker, Workout plans, Community features",Yes,Too expensive,Mix of both,<₹20k,Need better results,Yes,15.0
28,Female,167,87,Yes,Maintain health,Low,0,No,Not tracking,Appearance,1,3,Maybe,<₹200,"Community features, Challenges",Yes,"Too expensive, Others, Privacy concerns",Mix of both,₹50k–₹1L,Need better results,Maybe,29.82082190355312
29,Female,156,84,No,Mental wellness,Medium,3–4,No,Not tracking,Energy,4,2,No,₹200–₹500,"Workout plans, Mental health tips, Reminders",No,"Didn’t see results, Too expensive, App was buggy",Mix of both,<₹20k,Consistent,Yes,34.00960185859289
34,Female,160,70,No,Weight loss,Medium,1–2,No,Not tracking,Social influence,4,4,Yes,₹200–₹500,"Community features, Mental health tips",Yes,"Others, Got bored, Didn’t see results",Mix of both,₹1L–₹2L,Need motivation to start,Maybe,24.821843720626244
31,Male,155,73,No,Muscle gain,High,1–2,Yes,Manual logs,Mental health,2,4,Maybe,₹200–₹500,"Community features, Workout plans, Challenges, Mental health tips",Yes,"Didn’t see results, Privacy concerns",Mix of both,₹50k–₹1L,Consistent,Yes,29.82797913321605
19,Female,171,86,Yes,Maintain health,Medium,0,No,In-app tracking,Social influence,5,2,Maybe,₹200–₹500,"Workout plans, Reminders",Yes,Didn’t see results,Self-paced,₹1L–₹2L,Consistent,Maybe,29.448169491576987
33,Prefer not to say,173,73,Yes,Mental wellness,Medium,1–2,No,Wearable devices,Appearance,2,4,Maybe,<₹200,"Challenges, Diet tracker, Mental health tips, Workout plans",Yes,"Others, Didn’t see results",Self-paced,>₹2L,Need better results,Yes,24.488621315848423
34,Female,162,83,Yes,Mental wellness,Low,5–6,No,Not tracking,Health,4,1,Maybe,₹200–₹500,"Diet tracker, Reminders",Yes,"Got bored, Didn’t see results, Others",Self-paced,₹50k–₹1L,Need better results,Maybe,34.17301537277488
34,Male,165,65,No,Maintain health,Low,5–6,Yes,In-app tracking,Social influence,2,3,No,₹200–₹500,"Community features, Mental health tips",Yes,Got bored,Mix of both,₹1L–₹2L,Need better results,Yes,23.815684220062604
38,Male,150,89,No,Weight loss,Low,1–2,Yes,In-app tracking,Mental health,4,3,Yes,₹500–₹1000,"Workout plans, Challenges",No,"Others, Got bored",Self-paced,₹20k–₹50k,Start but can’t continue,No,39.4484434674453
36,Female,162,74,Yes,Maintain health,Medium,3–4,No,In-app tracking,Energy,5,2,Maybe,₹500–₹1000,"Diet tracker, Mental health tips",Yes,Too expensive,Mix of both,₹1L–₹2L,Need better results,Yes,30.48719878827817
33,Non-binary,164,72,Yes,Muscle gain,Medium,3–4,No,Wearable devices,Mental health,1,1,Maybe,<₹200,"Reminders, Diet tracker",Yes,"Others, Privacy concerns",Guided,₹20k–₹50k,Need motivation to start,No,26.76527961609081
29,Female,191,50,Yes,Muscle gain,Medium,5–6,Yes,Manual logs,Health,1,4,Yes,₹0,"Community features, Workout plans, Diet tracker, Mental health tips",Yes,Didn’t see results,Mix of both,₹50k–₹1L,Start but can’t continue,No,15.0
16,Female,153,74,Yes,Weight loss,Medium,5–6,No,Not tracking,Appearance,2,3,Yes,>₹1000,"Community features, Diet tracker",Yes,"Didn’t see results, Others",Mix of both,₹50k–₹1L,Need motivation to start,Maybe,29.456770105162416
33,Male,179,57,No,Weight loss,Medium,3–4,No,In-app tracking,Mental health,4,3,Maybe,₹200–₹500,"Challenges, Community features",Yes,"Didn’t see results, Got bored, App was buggy",Self-paced,₹1L–₹2L,Need better results,No,15.65376608238882
31,Female,174,60,No,Improve flexibility,Low,3–4,No,Manual logs,Mental health,1,3,Yes,₹500–₹1000,"Workout plans, Mental health tips",No,"App was buggy, Got bored",Self-paced,₹1L–₹2L,Need better results,Yes,17.380212538121
32,Female,167,57,Yes,Muscle gain,Low,5–6,No,In-app tracking,Health,4,3,Maybe,₹0,"Community features, Challenges, Workout plans",Yes,"Didn’t see results, Privacy concerns, Others",Guided,<₹20k,Start but can’t continue,Yes,24.43472229299609
19,Male,182,54,Yes,Weight loss,High,0,Yes,In-app tracking,Social influence,5,5,Yes,₹200–₹500,"Community features, Challenges, Reminders, Workout plans",Yes,"Too expensive, Others",Mix of both,₹20k–₹50k,Start but can’t continue,No,15.0
21,Female,168,101,Yes,Muscle gain,Medium,3–4,No,Wearable devices,Health,2,2,Yes,₹200–₹500,"Mental health tips, Community features",No,"Privacy concerns, Too expensive, Didn’t see results",Mix of both,₹50k–₹1L,Need better results,Yes,35.701810764257246
38,Prefer not to say,168,89,No,Mental wellness,High,Daily,No,Wearable devices,Health,4,4,Yes,₹500–₹1000,"Mental health tips, Community features, Challenges, Reminders",Yes,"Too expensive, App was buggy, Didn’t see results",Mix of both,₹50k–₹1L,Consistent,Maybe,31.643380500266893
29,Male,164,98,Yes,Maintain health,Low,5–6,No,Not tracking,Social influence,2,4,Yes,₹0,"Diet tracker, Workout plans",Yes,"Others, Didn’t see results",Guided,<₹20k,Start but can’t continue,Yes,36.082987059387534
35,Female,177,76,Yes,Weight loss,High,3–4,No,In-app tracking,Mental health,4,2,Yes,<₹200,"Mental health tips, Diet tracker, Workout plans",Yes,"Privacy concerns, Too expensive",Guided,₹50k–₹1L,Consistent,Yes,15.0
30,Male,175,71,Yes,Weight loss,Low,3–4,No,In-app tracking,Energy,4,1,Yes,₹200–₹500,"Workout plans, Diet tracker, Community features, Reminders",Yes,App was buggy,Self-paced,₹1L–₹2L,Consistent,Yes,24.09407783665959
45,Female,158,50,No,Weight loss,Low,1–2,No,In-app tracking,Appearance,5,2,Maybe,₹500–₹1000,"Diet tracker, Community features, Challenges",Yes,"Too expensive, Got bored",Guided,₹50k–₹1L,Need better results,Yes,16.980961853051134
37,Female,151,82,No,Mental wellness,High,3–4,No,Manual logs,Appearance,2,3,Maybe,>₹1000,"Diet tracker, Challenges, Community features",Yes,Others,Self-paced,₹50k–₹1L,Start but can’t continue,No,23.744451566496558
25,Female,162,56,No,Maintain health,Low,3–4,No,In-app tracking,Mental health,3,3,Yes,>₹1000,"Challenges, Mental health tips",Yes,"Others, Privacy concerns",Guided,₹50k–₹1L,Need motivation to start,Yes,23.58188898285142
30,Female,156,88,Yes,Muscle gain,Medium,3–4,Yes,Manual logs,Health,4,2,No,>₹1000,"Mental health tips, Workout plans, Challenges, Reminders",No,Others,Self-paced,₹50k–₹1L,Need motivation to start,Yes,33.96552162295255
26,Male,164,64,Yes,Maintain health,Low,5–6,No,Wearable devices,Social influence,4,2,No,₹0,"Community features, Diet tracker, Challenges, Workout plans",Yes,"Got bored, Didn’t see results, Privacy concerns",Mix of both,₹1L–₹2L,Need motivation to start,Maybe,26.390449180748295
26,Non-binary,177,86,Yes,Muscle gain,Medium,5–6,Yes,In-app tracking,Social influence,1,4,No,₹0,"Diet tracker, Reminders, Workout plans, Mental health tips",Yes,"App was buggy, Privacy concerns",Mix of both,₹50k–₹1L,Consistent,Yes,30.216476725499753
27,Female,160,79,No,Improve flexibility,High,1–2,Yes,Not tracking,Social influence,2,4,No,<₹200,"Workout plans, Challenges, Reminders, Mental health tips",Yes,"App was buggy, Didn’t see results, Others",Self-paced,₹50k–₹1L,Need better results,Maybe,33.66489367899848
31,Male,164,104,Yes,Muscle gain,Low,3–4,No,Wearable devices,Health,3,5,Yes,₹200–₹500,"Diet tracker, Challenges",Yes,"Didn’t see results, Privacy concerns",Mix of both,₹1L–₹2L,Consistent,Yes,40.35522609524827
26,Female,165,47,Yes,Weight loss,Medium,3–4,No,Wearable devices,Mental health,5,5,Yes,₹500–₹1000,"Community features, Reminders",Yes,App was buggy,Guided,<₹20k,Need better results,No,15.0
40,Female,173,88,No,Weight loss,Low,3–4,No,In-app tracking,Health,3,3,Yes,₹500–₹1000,"Reminders, Mental health tips, Diet tracker",Yes,"Got bored, Didn’t see results",Self-paced,₹1L–₹2L,Need better results,Yes,26.32649866391141
22,Male,142,87,No,Muscle gain,Medium,1–2,No,Not tracking,Appearance,5,5,Yes,<₹200,"Diet tracker, Mental health tips",No,Too expensive,Mix of both,₹50k–₹1L,Start but can’t continue,Yes,40.90686526142737
28,Female,158,55,Yes,Mental wellness,Low,3–4,No,In-app tracking,Appearance,3,5,Maybe,₹200–₹500,"Mental health tips, Community features, Diet tracker, Workout plans",No,Too expensive,Guided,₹1L–₹2L,Start but can’t continue,Yes,20.126971197567965
26,Non-binary,167,85,Yes,Weight loss,Low,5–6,No,Not tracking,Health,3,1,Yes,>₹1000,"Workout plans, Reminders",Yes,"Privacy concerns, Others",Guided,₹20k–₹50k,Consistent,Yes,27.87775381850276
41,Male,177,75,Yes,Mental wellness,Low,3–4,No,In-app tracking,Social influence,2,2,Maybe,₹200–₹500,"Mental health tips, Reminders, Diet tracker",No,"Too expensive, Others, Privacy concerns",Guided,₹50k–₹1L,Need motivation to start,Maybe,22.57170736606634
31,Prefer not to say,160,66,No,Improve flexibility,Low,Daily,No,In-app tracking,Appearance,1,4,Maybe,<₹200,"Community features, Challenges, Mental health tips, Diet tracker",Yes,"Privacy concerns, Others",Self-paced,₹1L–₹2L,Consistent,Yes,27.320376738908173
38,Male,146,57,No,Weight loss,High,Daily,No,Manual logs,Appearance,3,5,Maybe,₹200–₹500,"Reminders, Workout plans, Challenges, Mental health tips",Yes,"Didn’t see results, Others, App was buggy",Mix of both,₹50k–₹1L,Start but can’t continue,Maybe,28.042362975631132
18,Male,171,59,Yes,Weight loss,Low,1–2,Yes,Wearable devices,Others,4,4,Maybe,₹200–₹500,"Diet tracker, Community features, Challenges",No,Didn’t see results,Guided,₹20k–₹50k,Consistent,Yes,20.76854828110082
32,Male,158,100,Yes,Weight loss,Low,1–2,No,Wearable devices,Appearance,4,5,Yes,₹200–₹500,"Challenges, Diet tracker, Community features",No,"Didn’t see results, Got bored",Guided,₹20k–₹50k,Consistent,Yes,39.62810675828347
37,Female,153,70,No,Maintain health,Medium,Daily,No,In-app tracking,Mental health,4,5,No,₹200–₹500,"Community features, Workout plans, Mental health tips, Challenges",Yes,"App was buggy, Too expensive",Mix of both,₹50k–₹1L,Start but can’t continue,Yes,29.766463753915094
30,Female,158,81,No,Weight loss,Low,Daily,No,Not tracking,Health,1,3,Yes,₹0,"Diet tracker, Reminders",Yes,"Privacy concerns, App was buggy, Others",Self-paced,₹50k–₹1L,Consistent,Yes,33.048869671237405
38,Male,163,58,Yes,Muscle gain,Medium,0,No,Not tracking,Appearance,3,1,Maybe,>₹1000,"Diet tracker, Community features",Yes,"App was buggy, Got bored",Self-paced,₹50k–₹1L,Start but can’t continue,Yes,20.88346267667601
25,Male,158,58,Yes,Muscle gain,High,0,No,Manual logs,Social influence,5,2,Maybe,₹200–₹500,"Diet tracker, Community features, Reminders, Mental health tips",Yes,Too expensive,Mix of both,₹20k–₹50k,Need motivation to start,Yes,25.188130824378852
41,Female,142,86,Yes,Maintain health,Medium,1–2,Yes,Manual logs,Appearance,5,2,Maybe,₹200–₹500,"Reminders, Diet tracker, Challenges, Community features",No,"Didn’t see results, Too expensive",Self-paced,₹1L–₹2L,Consistent,No,40.02092744670886
48,Male,173,49,Yes,Weight loss,High,Daily,No,Wearable devices,Energy,2,3,Yes,>₹1000,"Reminders, Community features, Mental health tips, Workout plans",Yes,App was buggy,Mix of both,₹50k–₹1L,Start but can’t continue,Yes,15.0
27,Female,177,63,No,Muscle gain,Medium,1–2,Yes,Wearable devices,Health,1,3,Maybe,<₹200,"Diet tracker, Mental health tips",Yes,Others,Mix of both,<₹20k,Need better results,Yes,18.257901020354225
26,Female,171,70,No,Muscle gain,Low,3–4,No,In-app tracking,Appearance,3,2,Yes,<₹200,"Reminders, Mental health tips",Yes,"App was buggy, Too expensive, Got bored",Guided,<₹20k,Need motivation to start,Yes,24.854192152176072
41,Female,153,71,No,Muscle gain,Medium,5–6,No,Not tracking,Appearance,4,2,Yes,₹500–₹1000,"Diet tracker, Challenges, Reminders, Workout plans",Yes,"Others, App was buggy, Privacy concerns",Self-paced,₹50k–₹1L,Consistent,Maybe,27.92972823697038
42,Prefer not to say,162,67,Yes,Improve flexibility,Medium,0,No,Not tracking,Appearance,1,1,Maybe,<₹200,"Mental health tips, Challenges, Reminders",No,Didn’t see results,Self-paced,₹50k–₹1L,Consistent,Yes,23.69548667961818
25,Male,164,75,No,Weight loss,Medium,3–4,No,In-app tracking,Appearance,1,5,Yes,₹500–₹1000,"Community features, Workout plans, Challenges, Reminders",No,"Privacy concerns, Didn’t see results, Too expensive",Mix of both,₹50k–₹1L,Need motivation to start,Maybe,28.733945528422456
26,Prefer not to say,170,80,Yes,Improve flexibility,High,1–2,No,In-app tracking,Mental health,3,1,Maybe,<₹200,"Mental health tips, Workout plans, Diet tracker, Challenges",Yes,"Didn’t see results, Privacy concerns, Got bored",Self-paced,₹50k–₹1L,Start but can’t continue,Yes,25.943986962535533
27,Female,171,81,Yes,Maintain health,Medium,5–6,No,In-app tracking,Health,2,2,Yes,₹0,"Challenges, Reminders",Yes,Privacy concerns,Mix of both,₹20k–₹50k,Consistent,Yes,29.37726834734307
19,Female,157,55,Yes,Maintain health,High,1–2,Yes,Wearable devices,Health,2,5,Maybe,₹200–₹500,"Diet tracker, Community features, Workout plans, Challenges",Yes,"Got bored, Privacy concerns",Mix of both,>₹2L,Start but can’t continue,Yes,23.942660083707626
22,Male,165,65,Yes,Maintain health,Medium,3–4,No,In-app tracking,Health,2,2,Yes,<₹200,"Challenges, Workout plans",Yes,"Got bored, Privacy concerns",Mix of both,₹1L–₹2L,Need motivation to start,Yes,22.799405776066013
21,Female,169,87,No,Muscle gain,Medium,3–4,Yes,In-app tracking,Social influence,4,1,Maybe,₹500–₹1000,"Workout plans, Diet tracker, Challenges",Yes,"Others, Got bored, Didn’t see results",Mix of both,<₹20k,Consistent,Maybe,30.71635674437477
23,Male,179,83,Yes,Weight loss,Medium,1–2,No,In-app tracking,Social influence,4,1,Maybe,₹200–₹500,"Mental health tips, Workout plans, Challenges, Reminders",Yes,"Didn’t see results, Too expensive, Privacy concerns",Mix of both,₹1L–₹2L,Start but can’t continue,Yes,30.022993916090016
29,Male,172,49,Yes,Maintain health,Low,0,Yes,Wearable devices,Mental health,3,1,Maybe,>₹1000,"Reminders, Diet tracker, Workout plans",Yes,App was buggy,Mix of both,₹50k–₹1L,Consistent,Yes,18.307154332203332
31,Male,172,75,Yes,Muscle gain,High,3–4,No,Wearable devices,Social influence,2,5,Yes,₹500–₹1000,"Reminders, Community features, Diet tracker, Challenges",Yes,Others,Guided,₹50k–₹1L,Need better results,Yes,26.33981213131219
42,Female,165,40,Yes,Maintain health,Medium,1–2,No,Wearable devices,Health,3,4,Maybe,<₹200,"Mental health tips, Diet tracker, Workout plans",No,App was buggy,Mix of both,₹50k–₹1L,Need motivation to start,Yes,17.79606149787914
22,Female,179,70,Yes,Weight loss,Low,5–6,Yes,Not tracking,Health,2,4,Yes,₹500–₹1000,"Community features, Mental health tips",Yes,Too expensive,Mix of both,₹1L–₹2L,Start but can’t continue,Maybe,19.919669364249927
37,Female,169,98,Yes,Mental wellness,Low,5–6,No,Wearable devices,Energy,1,2,Yes,₹200–₹500,"Community features, Diet tracker, Workout plans, Reminders",No,"Got bored, Others",Self-paced,>₹2L,Start but can’t continue,Maybe,36.82419120776093
28,Female,156,55,No,Maintain health,Medium,3–4,Yes,In-app tracking,Energy,5,5,Yes,₹200–₹500,"Workout plans, Challenges, Community features, Reminders",Yes,App was buggy,Guided,₹50k–₹1L,Consistent,Yes,23.311484883925452
29,Male,179,57,Yes,Weight loss,Low,3–4,No,In-app tracking,Health,5,3,Maybe,₹500–₹1000,"Community features, Workout plans, Mental health tips",No,Too expensive,Mix of both,₹20k–₹50k,Start but can’t continue,Yes,20.70398056082484
35,Female,171,81,Yes,Muscle gain,Low,3–4,Yes,Wearable devices,Health,2,4,Yes,₹200–₹500,"Workout plans, Challenges",Yes,"App was buggy, Others, Too expensive",Guided,₹50k–₹1L,Start but can’t continue,Maybe,26.656559494497074
21,Male,160,46,Yes,Improve flexibility,Medium,5–6,No,In-app tracking,Others,3,5,Maybe,₹200–₹500,"Reminders, Workout plans, Mental health tips",No,Others,Self-paced,<₹20k,Need motivation to start,Yes,20.7537367078721
33,Female,160,60,No,Improve flexibility,Low,3–4,No,Not tracking,Social influence,4,5,Maybe,₹200–₹500,"Challenges, Reminders, Mental health tips",Yes,"Too expensive, Others, Privacy concerns",Self-paced,₹50k–₹1L,Need motivation to start,Maybe,19.952901865887146
31,Female,167,78,Yes,Muscle gain,Medium,1–2,No,In-app tracking,Health,2,4,Yes,<₹200,"Reminders, Challenges",No,Got bored,Mix of both,₹1L–₹2L,Consistent,Yes,27.21623181818115
33,Female,169,60,Yes,Mental wellness,Low,1–2,Yes,Not tracking,Mental health,2,5,Maybe,<₹200,"Mental health tips, Community features, Diet tracker",No,App was buggy,Guided,₹20k–₹50k,Start but can’t continue,Yes,21.552865061219826
32,Female,166,66,Yes,Weight loss,Low,3–4,No,Wearable devices,Health,4,5,Yes,₹200–₹500,"Diet tracker, Reminders, Community features",Yes,"Too expensive, Didn’t see results, App was buggy",Mix of both,<₹20k,Need motivation to start,Maybe,25.264866351959917
49,Male,168,81,Yes,Muscle gain,Medium,3–4,No,Manual logs,Appearance,2,4,Maybe,<₹200,"Workout plans, Diet tracker, Mental health tips, Community features",Yes,"Others, Didn’t see results",Guided,₹50k–₹1L,Start but can’t continue,Yes,24.512406983861336
24,Female,181,76,Yes,Mental wellness,Medium,3–4,No,Not tracking,Health,1,1,Yes,₹0,"Reminders, Community features, Diet tracker",No,"App was buggy, Got bored",Self-paced,₹20k–₹50k,Need motivation to start,No,20.7069226238468
25,Female,175,74,No,Mental wellness,Low,0,No,In-app tracking,Health,4,2,No,₹0,"Community features, Challenges, Diet tracker, Reminders",No,"Didn’t see results, App was buggy, Got bored",Self-paced,₹20k–₹50k,Need motivation to start,Yes,21.996043862128843
25,Female,166,64,No,Maintain health,Low,5–6,No,Not tracking,Appearance,1,3,Yes,₹200–₹500,"Mental health tips, Challenges",No,"Privacy concerns, App was buggy, Too expensive",Mix of both,₹50k–₹1L,Start but can’t continue,No,21.354110929536347
25,Male,174,75,Yes,Mental wellness,Medium,1–2,No,In-app tracking,Social influence,5,2,Yes,₹200–₹500,"Reminders, Community features, Mental health tips",No,"Others, Didn’t see results",Mix of both,>₹2L,Need motivation to start,Yes,23.271125802250083
24,Female,154,68,No,Weight loss,Low,1–2,No,Not tracking,Health,4,1,Yes,₹500–₹1000,"Diet tracker, Community features",No,"Privacy concerns, Didn’t see results, Too expensive",Mix of both,₹50k–₹1L,Consistent,Yes,29.002086461297477
39,Female,168,76,No,Mental wellness,Low,3–4,Yes,In-app tracking,Energy,4,1,Yes,₹200–₹500,"Mental health tips, Diet tracker, Workout plans, Challenges",Yes,"App was buggy, Too expensive, Got bored",Mix of both,₹50k–₹1L,Need motivation to start,No,29.879941338713525
41,Male,183,62,Yes,Weight loss,Low,1–2,No,In-app tracking,Appearance,3,5,Yes,₹200–₹500,"Diet tracker, Workout plans, Mental health tips, Reminders",Yes,"Didn’t see results, Got bored, Others",Self-paced,₹50k–₹1L,Consistent,Yes,17.762987306105543
25,Male,162,67,Yes,Weight loss,High,3–4,No,In-app tracking,Appearance,3,2,Yes,₹200–₹500,"Mental health tips, Diet tracker, Challenges, Reminders",Yes,"Didn’t see results, App was buggy, Got bored",Mix of both,₹20k–₹50k,Start but can’t continue,No,28.621260703341633
23,Female,156,55,Yes,Weight loss,Medium,1–2,No,Wearable devices,Social influence,4,1,Yes,₹200–₹500,"Diet tracker, Community features, Challenges",Yes,"Got bored, Others, Didn’t see results",Self-paced,₹1L–₹2L,Consistent,Maybe,22.76997316177348
33,Female,158,69,Yes,Muscle gain,Medium,3–4,No,Not tracking,Energy,5,2,Maybe,₹200–₹500,"Community features, Workout plans, Challenges, Reminders",Yes,"App was buggy, Didn’t see results",Guided,₹50k–₹1L,Need motivation to start,Maybe,27.21145867217517
25,Male,154,57,No,Weight loss,Medium,3–4,No,Wearable devices,Others,2,1,No,>₹1000,"Mental health tips, Community features, Workout plans, Reminders",Yes,"Too expensive, Privacy concerns, Got bored",Mix of both,>₹2L,Need better results,No,26.124800838273877
35,Male,157,53,No,Weight loss,Medium,1–2,Yes,In-app tracking,Others,3,3,Maybe,>₹1000,"Community features, Diet tracker, Reminders",Yes,"Didn’t see results, App was buggy",Mix of both,>₹2L,Consistent,No,21.189640857373263
31,Male,161,73,No,Weight loss,Medium,1–2,No,Wearable devices,Health,5,1,No,₹500–₹1000,"Reminders, Diet tracker, Challenges",Yes,Too expensive,Self-paced,₹20k–₹50k,Need motivation to start,Yes,26.598410600098912
17,Male,150,73,No,Weight loss,Medium,5–6,No,In-app tracking,Health,5,2,No,>₹1000,"Workout plans, Challenges, Reminders",Yes,"Privacy concerns, App was buggy",Mix of both,>₹2L,Start but can’t continue,Maybe,35.096624487309114
42,Female,165,81,Yes,Maintain health,Low,3–4,No,In-app tracking,Social influence,3,5,No,₹200–₹500,"Challenges, Workout plans, Community features, Diet tracker",Yes,Didn’t see results,Mix of both,>₹2L,Consistent,Yes,29.67547065574688
44,Female,174,63,Yes,Muscle gain,Medium,3–4,No,Manual logs,Others,2,2,Yes,₹200–₹500,"Mental health tips, Challenges, Diet tracker, Workout plans",Yes,"App was buggy, Didn’t see results",Self-paced,₹50k–₹1L,Need better results,Maybe,24.39074156085275
25,Female,155,76,No,Weight loss,Medium,0,No,Not tracking,Energy,3,4,No,₹500–₹1000,"Diet tracker, Mental health tips, Workout plans",Yes,"App was buggy, Others",Self-paced,₹20k–₹50k,Start but can’t continue,Yes,30.923932740581673
26,Female,180,78,Yes,Maintain health,Medium,3–4,Yes,Wearable devices,Mental health,5,2,Yes,₹200–₹500,"Mental health tips, Reminders, Workout plans",No,"App was buggy, Privacy concerns, Too expensive",Mix of both,₹50k–₹1L,Start but can’t continue,Yes,21.411241544226232
32,Male,170,76,No,Mental wellness,Low,3–4,No,In-app tracking,Mental health,1,3,Maybe,₹500–₹1000,"Reminders, Community features",Yes,"App was buggy, Too expensive",Mix of both,₹20k–₹50k,Start but can’t continue,Yes,24.758697532360287
32,Female,175,57,No,Improve flexibility,Low,3–4,No,Manual logs,Health,3,3,Maybe,₹500–₹1000,"Challenges, Diet tracker",No,"Didn’t see results, Privacy concerns",Self-paced,₹50k–₹1L,Start but can’t continue,No,17.27083488647391
35,Female,158,72,No,Weight loss,Medium,5–6,Yes,Manual logs,Energy,5,3,Yes,>₹1000,"Reminders, Mental health tips, Community features",Yes,"App was buggy, Didn’t see results, Too expensive",Mix of both,<₹20k,Start but can’t continue,Yes,46.65023549718614
46,Prefer not to say,173,75,No,Maintain health,Medium,1–2,No,Wearable devices,Social influence,3,1,Maybe,₹200–₹500,"Workout plans, Reminders, Challenges",Yes,Didn’t see results,Self-paced,₹50k–₹1L,Start but can’t continue,Yes,23.47077642710662
28,Female,154,70,Yes,Weight loss,High,1–2,No,In-app tracking,Mental health,5,3,Yes,₹500–₹1000,"Diet tracker, Mental health tips",Yes,"Others, Privacy concerns",Self-paced,>₹2L,Need motivation to start,Yes,27.010062363297358
23,Male,173,38,No,Weight loss,Low,5–6,No,Manual logs,Appearance,2,2,Yes,₹200–₹500,"Reminders, Mental health tips, Diet tracker",Yes,"Others, Didn’t see results, Too expensive",Mix of both,₹20k–₹50k,Need motivation to start,Yes,15.0
18,Female,166,72,No,Weight loss,Medium,Daily,No,Not tracking,Health,5,5,Yes,₹200–₹500,"Challenges, Diet tracker, Reminders, Workout plans",Yes,Got bored,Self-paced,₹50k–₹1L,Consistent,Yes,26.311562252801938
24,Male,170,103,Yes,Improve flexibility,Medium,1–2,No,Wearable devices,Appearance,4,3,Maybe,₹200–₹500,"Mental health tips, Diet tracker, Workout plans, Challenges",Yes,"App was buggy, Didn’t see results",Mix of both,₹20k–₹50k,Consistent,Yes,36.46353848319831
29,Female,153,64,No,Weight loss,High,3–4,No,Wearable devices,Appearance,1,2,Maybe,₹500–₹1000,"Challenges, Community features, Diet tracker, Mental health tips",No,"Others, Too expensive",Mix of both,₹50k–₹1L,Start but can’t continue,Maybe,27.30627548765862
44,Male,156,59,Yes,Weight loss,Medium,1–2,Yes,Manual logs,Social influence,5,1,Maybe,>₹1000,"Mental health tips, Diet tracker, Reminders",No,"App was buggy, Got bored",Mix of both,₹50k–₹1L,Need better results,Yes,26.976303942367515
25,Male,170,75,No,Weight loss,Medium,0,No,Manual logs,Appearance,3,1,Yes,<₹200,"Reminders, Mental health tips, Workout plans",No,Too expensive,Mix of both,₹20k–₹50k,Start but can’t continue,Maybe,26.07439362089745
31,Female,155,74,Yes,Mental wellness,Medium,1–2,No,In-app tracking,Appearance,3,5,No,₹200–₹500,"Mental health tips, Diet tracker",No,App was buggy,Mix of both,₹50k–₹1L,Start but can’t continue,Yes,26.433988894887847
29,Male,169,87,Yes,Maintain health,Medium,1–2,No,Not tracking,Health,5,5,Maybe,₹200–₹500,"Diet tracker, Reminders, Workout plans",Yes,"Too expensive, Others",Mix of both,₹1L–₹2L,Consistent,Yes,30.962155672447665
39,Female,151,51,Yes,Weight loss,High,5–6,Yes,In-app tracking,Energy,4,2,Yes,>₹1000,"Workout plans, Mental health tips, Community features",Yes,"Got bored, Too expensive",Guided,₹20k–₹50k,Consistent,Yes,22.38224410209035
50,Male,173,80,No,Maintain health,Low,3–4,No,Manual logs,Energy,5,5,No,₹200–₹500,"Community features, Challenges",Yes,Got bored,Mix of both,₹50k–₹1L,Need better results,Maybe,28.20040459390078
25,Female,152,78,Yes,Muscle gain,Low,1–2,No,Wearable devices,Appearance,2,5,Yes,<₹200,"Diet tracker, Workout plans, Community features",Yes,"Got bored, Didn’t see results, App was buggy",Guided,₹50k–₹1L,Need motivation to start,Yes,31.521626927680295
26,Female,170,67,Yes,Maintain health,High,0,No,In-app tracking,Appearance,4,1,Yes,₹200–₹500,"Diet tracker, Reminders",No,Privacy concerns,Self-paced,₹20k–₹50k,Need motivation to start,Yes,25.306288336804894
38,Female,171,75,Yes,Weight loss,Medium,5–6,Yes,Not tracking,Appearance,5,2,Yes,₹200–₹500,"Diet tracker, Workout plans, Mental health tips",No,"Didn’t see results, Got bored, Privacy concerns",Mix of both,₹1L–₹2L,Consistent,Maybe,26.182766756275303
35,Male,158,85,No,Mental wellness,Medium,1–2,No,Wearable devices,Energy,1,5,No,₹0,"Mental health tips, Community features, Reminders",No,"App was buggy, Too expensive, Others",Self-paced,₹50k–₹1L,Start but can’t continue,Yes,34.32023706084687
